Name_1,RAobs,Decobs,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i_1,I_1a,R,LD_cm,Lobs,L_1.4GHz,SFR (Msun/yr),NAME_2,RA2000,DEC2000,SDSS_NAME,RA_1,DEC_1,REDSHIFT,PLATE,FIBER,MJD,MI_Z2,FINT_REST6CM_MJY_OBS,Separation_1,RA_2,DEC_2,Peak_flux,E_Peak_flux,Total_flux,E_Total_flux,Maj,E_Maj,Min,E_Min,Separation
152153.80+594020.0,152153.829,594020.26,0.34,0.286,42.9,8.8,42.9,8.8,1.000,22.01,17.679,-22.6,0.14,4.53516978871925E27,22.0448542580392,22.5637391863447,21.6068371154243,152153.80+594020.0,230.47428749999997,59.67229444444444,b'152153.80+594020.0',230.47418212890625,59.67224884033203,0.28600001335144043,613,152,52345,-23.636511948813517,0.0,0.2522745469067022,,,,,,,,,,,
090454.99+511444.5,90454.978,511444.81,0.33,0.225,46.0,5.7,46,5.7,1.000,21.8,16.637,-23.12,0.06,3.4517513307389E27,21.8380466976128,22.342158209997,12.9720980200611,090454.99+511444.5,136.229075,51.245780555555555,b'090454.99+511444.5',136.22915649414062,51.24571990966797,0.22460000216960907,552,155,51992,-23.81937905876048,0.0,0.2852947744807448,,,,,,,,,,,
154430.52+282756.8,154430.54,282757.41,0.67,0.231,46.0,10.1,46,10.1,1.000,21.82,16.285,-23.53,0.04,3.55577676781326E27,21.8638366718692,22.3694335592149,13.8129223641662,154430.52+282756.8,236.12724999999998,28.465947222222226,b'154430.52+282756.8',236.127197265625,28.465795516967773,0.2313999980688095,1653,515,53534,-24.27023484637013,0.0,0.571069706808041,,,,,,,,,,,
115901.72+510630.7,115901.74,510630.56,0.24,0.296,49.4,5.4,49.4,5.4,1.000,22.1,17.532,-22.82,0.14,4.71810164856563E27,22.1404713994555,22.6617111508235,27.0746694102778,115901.72+510630.7,179.75724999999997,51.10848888888887,b'115901.72+510630.7',179.75718688964844,51.10855484008789,0.2955999970436096,968,562,52412,-23.88735603399944,0.0,0.2769800645096785,,,,,,,,,,,
163111.28+404805.2,163111.292,404805.0,0.24,0.258,49.7,5.0,49.7,5.0,1.000,21.97,17.094,-22.96,0.09,4.03082822915026E27,22.0063548355554,22.5185475346257,19.471506155538,163111.28+404805.2,247.79704999999996,40.80138888888889,b'163111.28+404805.2',247.79701232910156,40.80147171020508,0.2574999928474426,817,394,52381,-23.88449147211395,0.0,0.31533486116594234,,,,,,,,,,,
134845.44+451809.5,134845.44,451809.21,0.29,0.277,51.8,6.5,51.8,6.5,1.000,22.06,17.208,-23.0,0.11,4.37178566854114E27,22.0948573478654,22.6116072262436,24.1245509318416,134845.44+451809.5,207.18933333333334,45.30255833333332,b'134845.44+451809.5',207.18936157226562,45.30266189575195,0.2766000032424927,1465,30,53082,-24.037779184160577,0.0,0.3796196428970033,207.1897884916318,45.30290859068449,0.4296117863153068,0.05131362922898972,0.6022788979988835,0.11227395969027905,7.605987978371145,0.9615887541696531,6.635609150553574,0.7487901880902665,1.7082754973520216
115549.43+502117.2,115549.46,502117.07,0.32,0.284,53.4,5.6,53.4,5.6,1.000,22.09,17.456,-22.81,0.14,4.49875898645956E27,22.1329365754172,22.651348342324,26.4362806641769,115549.43+502117.2,178.95608333333334,50.35474166666667,b'115549.43+502117.2',178.95596313476562,50.35480499267578,0.28439998626708984,968,490,52412,-23.96479263517288,0.0,0.35804386702311514,178.95600239965904,50.35467876310775,0.41762597988033295,0.051681650079117715,0.4690725782663082,0.09687963991710886,6.610577960645538,0.8484535340409612,6.117021187920368,0.7298759957311317,0.2929828578438239
094305.15+280536.1,94305.149,280535.17,0.93,0.267,57.0,5.9,57,5.9,1.000,22.06,17.457,-22.68,0.15,4.19165843962495E27,22.099856492918,22.6142163736302,24.2699222625117,094305.15+280536.1,145.77145416666664,28.093102777777776,b'094305.15+280536.1',145.77146911621094,28.093366622924805,0.26669999957084656,1944,120,53385,-23.651880022795417,0.0,0.9510283666947885,,,,,,,,,,,
123341.68+310102.8,123341.64,310103.54,0.9,0.291,61.6,6.2,61.6,6.2,1.000,22.18,16.771,-23.55,0.09,4.62645336078504E27,22.2192869530038,22.7393515728841,32.3745383712937,123341.68+310102.8,188.4235,31.01765,b'123341.68+310102.8',188.42367553710938,31.017446517944336,0.290800005197525,2234,566,53823,-24.580839036886186,0.0,0.9109937102119533,188.42368882097648,31.017692184673248,0.4061158707510474,0.07693733411659426,0.5154007148570762,0.15753401427193317,7.508278362569707,1.5606132788512486,6.086377442234649,1.0509409147275572,0.6020254523177957
153941.49+504255.7,153941.501,504255.8,0.15,0.203,61.9,5.5,61.9,5.5,1.000,21.83,16.725,-22.81,0.08,3.075228858937E27,21.8666553961756,22.3652575856073,13.6807402508417,153941.49+504255.7,234.9229208333333,50.7155,b'153941.49+504255.7',234.92288208007812,50.715484619140625,0.20319999754428864,796,417,52401,-23.4731764567003,0.0,0.1042545222804012,234.92275192543963,50.71542665829895,0.6981481112712864,0.05483145631240469,0.915630871107687,0.11448012357130886,7.324529059683041,0.6079800722399672,6.446538944906564,0.4790506112820572,0.4668469413233867
152428.67+303237.5,152428.681,303237.98,0.5,0.274,63.3,11.2,63.3,11.2,1.000,22.13,16.618,-23.57,0.08,4.3175908127252E27,22.1710965359108,22.6871313858041,28.7067083764641,152428.67+303237.5,231.11950416666667,30.543883333333326,b'152428.67+303237.5',231.1194610595703,30.543764114379883,0.2743000090122223,1650,545,53174,-24.562672432191725,0.0,0.4495168800059924,231.11958693243443,30.54400866783492,0.775755564113679,0.080168690663124,0.9910975121754341,0.16526845318415195,7.688636719558009,0.8872470084653091,5.982300022061127,0.5536467697321545,0.5190713262629559
163051.74+471118.9,163051.738,471118.82,0.08,0.27,64.1,5.4,64.1,5.4,1.000,22.12,16.91,-23.25,0.1,4.24553966358728E27,22.1619336987298,22.6770125536928,28.0455890031875,163051.74+471118.9,247.715575,47.18856111111111,b'163051.74+471118.9',247.7156219482422,47.188602447509766,0.27000001072883606,627,373,52144,-24.23253978865631,0.0,0.18798257234543098,,,,,,,,,,,
120629.36+281436.1,120629.35,281436.1,0.13,0.293,64.7,5.6,64.7,5.6,1.000,22.21,17.433,-22.9,0.17,4.6630690362574E27,22.2474578350652,22.7679930527753,34.5815985147331,120629.36+281436.1,181.62229166666663,28.243361111111106,b'120629.36+281436.1',181.62232971191406,28.243362426757812,0.29269999265670776,2229,354,53823,-23.937010343562473,0.0,0.12074977734311851,,,,,,,,,,,
144510.13+304957.0,144510.122,304956.56,0.45,0.276,65.7,4.8,65.7,4.8,1.000,22.16,17.466,-22.74,0.18,4.35370584912868E27,22.1944934002104,22.7110051225738,30.3289331759355,144510.13+304957.0,221.29217499999996,30.83237777777778,b'144510.13+304957.0',221.292236328125,30.832523345947266,0.2759000062942505,1842,67,53501,-23.73560598317001,0.0,0.557282225553092,,,,,,,,,,,
153415.05+465819.2,153415.093,465818.98,0.5,0.282,66.2,5.5,66.2,5.5,1.000,22.18,17.5,-22.75,0.18,4.46240704566743E27,22.2192062187167,22.7371440866384,32.2103985319915,153415.05+465819.2,233.56288750000002,46.97193888888889,b'153415.05+465819.2',233.562744140625,46.97201919555664,0.28189998865127563,1332,441,52781,-23.76765506226706,0.0,0.4556287292885602,233.56251035433155,46.97194008815998,0.42368648436008205,0.0744501834473705,0.6849940531623933,0.18108156546278323,8.724921858470905,1.6990376948924335,6.671338887396271,1.057825074496088,0.9264620758570387
160507.92+483422.1,160507.913,483422.62,0.52,0.295,79.9,6.3,79.9,6.3,1.000,22.31,16.775,-23.57,0.11,4.69974292190665E27,22.3459048482922,22.8669099364781,43.4272119298723,160507.92+483422.1,241.28297083333325,48.572950000000006,b'160507.92+483422.1',241.28302001953125,48.572811126708984,0.2946999967098236,622,282,52054,-24.607381671005292,0.0,0.513488734508081,241.28302744926023,48.572889743719685,0.6819351353968192,0.07136936162911549,0.7430679308203246,0.1311831569789354,6.6160446750899045,0.7295401861217882,5.930159587420748,0.5890512476868467,0.25542589247529945
092309.87+453046.4,92309.856,453046.59,0.24,0.292,86.0,6.3,86,6.3,1.000,22.33,17.747,-22.58,0.3,4.64475391324329E27,22.3676337338618,22.8879337437169,45.5812000890234,092309.87+453046.4,140.79106666666667,45.51294166666667,b'092309.87+453046.4',140.79115295410156,45.51289749145508,0.2924000024795532,833,183,52314,-23.640681736879962,0.0,0.26958112168244663,140.7912528757747,45.51282136200047,0.5572552071802942,0.08152596922564008,0.6617015053430616,0.16038744451619477,7.567514205192191,1.2658165907644212,5.650014547718409,0.7229623764508718,0.6389342174290051
134854.76+430309.1,134854.79,430309.62,0.61,0.275,88.8,6.7,88.8,6.7,1.000,22.28,17.09,-23.11,0.17,4.33564089107885E27,22.3217294370636,22.8380028166964,40.6307490016215,134854.76+430309.1,207.22829166666662,43.05267222222221,b'134854.76+430309.1',207.2281951904297,43.052528381347656,0.27469998598098755,1345,498,52814,-24.090334699739916,0.0,0.576676174134214,207.22815953882875,43.05235064325689,0.6666796667436345,0.06352433484560113,1.3750817577383723,0.18428826538843832,9.542967960152735,0.9719630408181965,7.782795335609792,0.6937694135526972,1.208736376122494
124853.89+342429.4,124853.89,342429.68,0.28,0.271,92.2,5.9,92.2,5.9,1.000,22.29,17.552,-22.61,0.27,4.26353003945263E27,22.3234794395326,22.8387975752142,40.7051713119732,124853.89+342429.4,192.22454166666662,34.40824444444445,b'124853.89+342429.4',192.22457885742188,34.40818786621094,0.2705000042915344,1987,464,53765,-23.602913364512517,0.0,0.2317063209706187,192.22436064643554,34.40803907664849,0.6660237331180785,0.07368702185479269,1.3118733364029174,0.20720452434866643,9.84273994358121,1.2100632951348997,7.20440384304979,0.7173127835888045,0.9141495792620693
094427.99+360837.1,94428.006,360837.57,0.51,0.228,94.0,8.6,94,8.6,1.000,22.13,17.03,-22.76,0.17,3.50369312130466E27,22.1613898386639,22.6662449457213,27.358794502764,094427.99+360837.1,146.11669166666667,36.143769444444445,b'094427.99+360837.1',146.1166534423828,36.14364242553711,0.22779999673366547,1594,605,52992,-23.476828360118986,0.0,0.4705767976001444,,,,,,,,,,,
