,SDSS_NAME,RA,DEC,REDSHIFT,PLATE,FIBER,MJD
435,b'001105.57+002653.5',2.773221015930176,0.4482029974460602,0.4546000063419342,687,345,52518
437,b'001108.78+154052.4',2.7866170406341553,15.681230545043945,0.3806000053882599,752,323,52251
442,b'001113.46-110023.5',2.806088924407959,-11.006548881530762,0.49540001153945923,651,51,52141
445,b'001115.69+011459.2',2.815377950668335,1.2497869729995728,0.5802000164985657,1089,347,52913
449,b'001130.18-102353.8',2.8757729530334473,-10.398295402526855,0.33739998936653137,652,314,52138
474,b'001202.77+004202.8',3.011583089828491,0.7007920145988464,0.5476999878883362,389,323,51795
477,b'001206.25-094536.3',3.0260820388793945,-9.760108947753906,0.566100001335144,651,622,52141
478,b'001207.47+002707.1',3.0311269760131836,0.451977014541626,0.4138999879360199,686,584,52519
485,b'001221.38-085434.7',3.089092969894409,-8.909648895263672,0.33230000734329224,652,335,52138
489,b'001224.01-102226.5',3.1000781059265137,-10.374032020568848,0.2281000018119812,651,72,52141
492,b'001232.63-100132.5',3.1359620094299316,-10.02570915222168,0.4185999929904938,652,276,52138
501,b'001247.93-084700.5',3.1997110843658447,-8.78349781036377,0.22010000050067902,652,326,52138
504,b'001252.64-000206.0',3.219364881515503,-0.035006001591682434,0.569100022315979,1089,173,52913
507,b'001256.99+142135.3',3.2374839782714844,14.35982608795166,0.5928000211715698,752,230,52251
509,b'001257.25+011527.3',3.2385590076446533,1.2575949430465698,0.5047000050544739,389,379,51795
524,b'001327.31+005232.0',3.3638079166412354,0.8755580186843872,0.36239999532699585,389,409,51795
532,b'001340.74-111100.6',3.41975998878479,-11.183525085449219,0.25429999828338623,652,252,52138
535,b'001344.93+150111.8',3.4372220039367676,15.019964218139648,0.3898000121116638,752,491,52251
537,b'001346.52+003402.8',3.4438440799713135,0.567471981048584,0.27379998564720154,389,422,51795
568,b'001441.54+154400.4',3.6730990409851074,15.7334623336792,0.3580999970436096,752,460,52251
579,b'001500.14+011519.1',3.750601053237915,1.2553149461746216,0.5680000185966492,687,405,52518
582,b'001502.38-094439.1',3.7599270343780518,-9.744216918945312,0.3357999920845032,652,478,52138
598,b'001534.67-011118.8',3.894473075866699,-1.1885559558868408,0.40630000829696655,687,206,52518
607,b'001545.36+000822.6',3.9390060901641846,0.13961799442768097,0.3709999918937683,390,345,51900
617,b'001605.96-010207.1',4.024837017059326,-1.0353230237960815,0.41600000858306885,1089,66,52913
631,b'001630.43-093853.5',4.126819133758545,-9.648200988769531,0.23989999294281006,652,488,52138
662,b'001725.37+141132.6',4.355710029602051,14.192391395568848,0.5134999752044678,752,20,52251
674,b'001744.64-091355.5',4.436024188995361,-9.232098579406738,0.3325999975204468,652,532,52138
675,b'001746.50-093546.1',4.443790912628174,-9.596153259277344,0.5791000127792358,652,588,52138
695,b'001807.13+135259.0',4.529745101928711,13.88308334350586,0.5605000257492065,752,7,52251
702,b'001815.77+001632.4',4.565725803375244,0.27567699551582336,0.5756000280380249,687,560,52518
713,b'001836.44+141905.3',4.651857852935791,14.318154335021973,0.542900025844574,752,17,52251
748,b'001931.57-085938.4',4.881557941436768,-8.9940185546875,0.5037999749183655,652,605,52138
749,b'001932.58-101909.9',4.885767936706543,-10.319419860839844,0.5648999810218811,653,271,52145
775,b'002005.69-005016.3',5.023748874664307,-0.8378750085830688,0.5755000114440918,390,230,51900
780,b'002017.31-104724.7',5.072138786315918,-10.790216445922852,0.5823000073432922,652,19,52138
782,b'002019.22-110609.2',5.080104827880859,-11.102575302124023,0.4916999936103821,653,300,52145
795,b'002043.58+141249.4',5.18161678314209,14.2137451171875,0.5878999829292297,753,253,52233
810,b'002111.97+001412.8',5.299911022186279,0.23689399659633636,0.5228999853134155,1088,490,52929
817,b'002126.18-101246.7',5.359114170074463,-10.212987899780273,0.31529998779296875,653,229,52145
830,b'002141.01+003841.7',5.420910835266113,0.6449180245399475,0.3075999915599823,390,531,51900
837,b'002149.25+144705.2',5.45522403717041,14.784802436828613,0.397599995136261,753,234,52233
847,b'002209.95+001629.3',5.541477203369141,0.2748109996318817,0.5748999714851379,391,360,51782
848,b'002212.21-004431.6',5.550907135009766,-0.7421309947967529,0.4203000068664551,688,213,52203
855,b'002233.27-003448.5',5.638661861419678,-0.5801479816436768,0.5038999915122986,390,157,51900
864,b'002249.22-103956.2',5.705088138580322,-10.66561222076416,0.4138999879360199,653,185,52145
874,b'002309.34-001905.2',5.7889227867126465,-0.3181140124797821,0.4097999930381775,688,180,52203
876,b'002311.06+003517.5',5.796092987060547,0.5881959795951843,0.4219000041484833,390,573,51900
884,b'002327.67+000956.8',5.865328788757324,0.165801003575325,0.5339000225067139,1087,356,52930
888,b'002330.58+154744.9',5.8774189949035645,15.795822143554688,0.41119998693466187,753,455,52233
890,b'002332.34-011444.2',5.884750843048096,-1.2456120252609253,0.48260000348091125,688,89,52203
928,b'002416.00-093315.4',6.06670618057251,-9.554295539855957,0.5401999950408936,653,500,52145
932,b'002421.83+002508.4',6.090993881225586,0.4190250039100647,0.5989999771118164,688,520,52203
941,b'002430.58+161219.7',6.127449035644531,16.20548439025879,0.38199999928474426,753,536,52233
947,b'002437.66+000840.7',6.156925201416016,0.14465899765491486,0.4259999990463257,391,399,51782
953,b'002444.12+003221.2',6.183836936950684,0.5392259955406189,0.4023999869823456,390,587,51900
960,b'002450.50+003447.7',6.210434913635254,0.579925000667572,0.5239999890327454,688,545,52203
967,b'002458.84+140253.2',6.245188236236572,14.048126220703125,0.4361000061035156,753,48,52233
975,b'002521.11+140651.1',6.337967872619629,14.114203453063965,0.5440999865531921,753,58,52233
980,b'002537.12+154402.4',6.404696941375732,15.734007835388184,0.4106999933719635,753,573,52233
988,b'002548.50-003351.3',6.452095031738281,-0.5642650127410889,0.5680999755859375,689,314,52262
989,b'002549.37-005420.5',6.455729961395264,-0.9057199954986572,0.5615000128746033,1087,249,52930
1000,b'002614.28-005920.8',6.559511184692383,-0.9891179800033569,0.37290000915527344,1087,218,52930
1009,b'002620.87+011518.0',6.586963176727295,1.2550220489501953,0.2727999985218048,391,366,51782
1029,b'002658.14-090137.2',6.742275238037109,-9.027022361755371,0.33820000290870667,653,576,52145
1033,b'002712.59+005159.8',6.802495956420898,0.8666359782218933,0.3037000000476837,689,339,52262
1035,b'002714.21+001203.7',6.809219837188721,0.20103700459003448,0.4535999894142151,391,423,51782
1047,b'002752.39+002615.6',6.968332767486572,0.43768200278282166,0.2054000049829483,391,461,51782
1061,b'002815.78+004247.5',7.065789222717285,0.7132009863853455,0.30559998750686646,391,531,51782
1067,b'002826.77+002214.5',7.111573219299316,0.37071800231933594,0.4124999940395355,688,634,52203
1071,b'002831.71-000413.3',7.132150173187256,-0.07036499679088593,0.25189998745918274,391,189,51782
1075,b'002840.69-102145.1',7.169541835784912,-10.362531661987305,0.32170000672340393,654,314,52146
1099,b'002916.62-104620.5',7.319272041320801,-10.772372245788574,0.46309998631477356,654,253,52146
1106,b'002920.67+144653.4',7.336147785186768,14.781510353088379,0.5370000004768372,417,275,51821
1141,b'002959.03+150817.2',7.495971202850342,15.138114929199219,0.21080000698566437,417,437,51821
1149,b'003009.86-002233.4',7.541096210479736,-0.37595999240875244,0.4099000096321106,392,315,51793
1155,b'003013.92+145847.1',7.558028221130371,14.979774475097656,0.445499986410141,417,440,51821
1161,b'003034.04-094333.5',7.641846179962158,-9.72597885131836,0.492900013923645,654,430,52146
1163,b'003043.59-103517.6',7.681643962860107,-10.58824634552002,0.296099990606308,654,236,52146
1164,b'003044.07-093710.8',7.683651924133301,-9.61967945098877,0.5110999941825867,654,427,52146
1174,b'003049.23-090133.7',7.705140113830566,-9.026053428649902,0.3522999882698059,654,419,52146
1177,b'003100.83-004431.0',7.753496170043945,-0.7419499754905701,0.5425000190734863,392,295,51793
1218,b'003151.45+010527.9',7.964414119720459,1.091107964515686,0.5383999943733215,391,609,51782
1220,b'003152.96+004442.2',7.970672130584717,0.7450820207595825,0.5386999845504761,689,535,52262
1237,b'003221.06-103238.8',8.087770462036133,-10.544137954711914,0.5134999752044678,654,164,52146
1238,b'003222.59-011217.7',8.094152450561523,-1.2049180269241333,0.484499990940094,689,91,52262
1253,b'003240.15-010331.4',8.167295455932617,-1.05874502658844,0.39010000228881836,689,41,52262
1255,b'003242.74+003110.9',8.178088188171387,0.519707977771759,0.3614000082015991,391,624,51782
1264,b'003251.46-002748.0',8.21442985534668,-0.463344007730484,0.5879999995231628,392,306,51793
1285,b'003319.52-101924.1',8.331363677978516,-10.323368072509766,0.25920000672340393,654,143,52146
1287,b'003321.77+141626.4',8.340717315673828,14.274020195007324,0.3001999855041504,417,57,51821
