SDSS_NAME,RA,DEC,REDSHIFT
075403.60+481428.0,118.515029907227,48.2411270141602,0.275499999523163
080829.17+440754.1,122.121543884277,44.1317024230957,0.275400012731552
081652.24+425829.4,124.217704772949,42.9748420715332,0.234500005841255
082205.24+455349.1,125.521842956543,45.8969802856445,0.299800008535385
083353.88+422401.8,128.474502563477,42.4005279541016,0.249099999666214
083443.80+382632.8,128.682525634766,38.4424514770508,0.288199990987778
083658.90+442602.2,129.24543762207,44.4339714050293,0.254400014877319
084313.41+535718.8,130.805877685547,53.9552421569824,0.217999994754791
084347.84+203752.4,130.949371337891,20.6312484741211,0.227300003170967
084755.63+263147.6,131.981811523438,26.5299034118652,0.281699985265732
085632.99+595746.8,134.137466430664,59.9630165100098,0.282999992370605
085640.78+105755.8,134.169952392578,10.965500831604,0.273799985647202
085828.69+342343.8,134.619567871094,34.3955116271973,0.25670000910759
090151.13+103020.4,135.463073730469,10.5056781768799,0.200900003314018
090454.99+511444.5,136.229156494141,51.245719909668,0.224600002169609
090725.91+021521.1,136.858001708984,2.25587391853333,0.273099988698959
091702.11+212337.5,139.2587890625,21.3937721252441,0.202299997210503
091928.69+143202.6,139.869552612305,14.5340633392334,0.20720000565052
092309.87+453046.4,140.791152954102,45.5128974914551,0.292400002479553
092837.98+602521.0,142.158264160156,60.4225044250488,0.295399993658066
092909.79+464424.0,142.290802001953,46.7400169372559,0.240099996328354
093034.43+204416.6,142.643463134766,20.7379531860352,0.242799997329712
093200.07+553347.4,143.000335693359,55.5631713867188,0.265599995851517
093433.95+030645.1,143.641464233398,3.1125431060791,0.297300010919571
093509.48+481910.2,143.789520263672,48.3195037841797,0.223800003528595
093653.84+533126.8,144.224349975586,53.5241241455078,0.228100001811981
093913.53+171050.2,144.806411743164,17.1806221008301,0.250800013542175
094215.12+090015.8,145.563034057617,9.0044059753418,0.212699994444847
094254.05+345133.1,145.725219726563,34.8592147827148,0.277500003576279
094305.15+280536.1,145.771469116211,28.0933666229248,0.266699999570847
094427.99+360837.1,146.116653442383,36.1436424255371,0.227799996733665
094603.94+013923.6,146.51643371582,1.656574010849,0.220300003886223
094636.42+205610.9,146.651779174805,20.9363784790039,0.279500007629395
094859.47+433518.9,147.247833251953,43.5886039733887,0.226199999451637
095048.38+392650.4,147.701614379883,39.4473571777344,0.205699995160103
095236.13+205143.5,148.150573730469,20.8620986938477,0.276399999856949
095302.64+380145.2,148.261032104492,38.0292472839356,0.272799998521805
095407.02+212235.9,148.529281616211,21.3766422271729,0.295300006866455
095539.83+453217.0,148.915969848633,45.5380592346191,0.259099990129471
100033.88+104723.7,150.141174316406,10.7899322509766,0.226400002837181
100438.82+151057.3,151.161758422852,15.1826019287109,0.218799993395805
100528.34+423037.5,151.368103027344,42.5104331970215,0.257299989461899
100726.10+124856.2,151.858749389648,12.8156137466431,0.240600004792213
100744.54+500746.6,151.935623168945,50.1296310424805,0.212099999189377
101000.68+300321.5,152.502868652344,30.0559921264648,0.255800008773804
101312.15+020416.4,153.300628662109,2.07123208045959,0.220100000500679
101325.43+221229.4,153.35595703125,22.2081737518311,0.273499995470047
101719.02+151620.8,154.32926940918,15.2724485397339,0.245199993252754
102101.20+190012.3,155.255020141602,19.0034236907959,0.247500002384186
103421.71+605318.1,158.590469360352,60.8883781433106,0.227699995040894
103609.28+275019.9,159.038696289063,27.8388805389404,0.281599998474121
104041.50+600239.3,160.172927856445,60.0442504882813,0.297199994325638
104111.97+282805.0,160.299880981445,28.4680824279785,0.210999995470047
